label,acc_x_mean,acc_x_std,acc_x_max,acc_x_min,acc_y_mean,acc_y_std,acc_y_max,acc_y_min,acc_z_mean,acc_z_std,acc_z_max,acc_z_min,gyro_x_mean,gyro_x_std,gyro_x_max,gyro_x_min,gyro_y_mean,gyro_y_std,gyro_y_max,gyro_y_min,gyro_z_mean,gyro_z_std,gyro_z_max,gyro_z_min
person1,0.507659,2.728250996262083,7.2846,-4.1248,-0.2735669999999999,2.8619171139433472,6.3792,-9.6511,-0.093836,2.710278552515638,7.8275,-7.3929,0.07682,1.4476532132588198,1.554,-2.836,3.17423,1.137105770112984,5.566,1.716,-1.81676,0.8238144603310293,-0.66,-3.263
person1,0.3039659999999999,3.0697656087016933,7.2846,-5.3292,0.068864,1.8586976606324128,6.3792,-3.3763,-0.701168,2.374369094208252,4.636,-7.3929,0.7871300000000001,0.4799226506491026,1.554,-0.132,1.35602,1.347280440537361,2.843,-0.692,-0.82698,0.4237674219177164,0.058,-1.723
person1,0.368348,3.34402774284925,7.7995,-5.8471,-0.472729,3.4324312560536945,6.0991,-12.5903,-0.5809300000000001,3.2620565353931266,8.6443,-8.2466,0.58271,0.538092371158512,1.461,-0.245,0.00907,0.7273161436598825,1.697,-0.746,0.16381,0.7080224086934828,1.298,-0.632
person1,-0.1244439999999999,2.9513602848472664,7.7995,-5.8471,-0.915096,3.3434364257926563,6.0991,-12.5903,0.1818369999999999,3.3239707644259724,8.6443,-8.2466,0.58272,0.4581562099625766,1.461,-0.245,0.00183,0.5125357648028284,0.837,-0.791,0.21319,0.7319374551714294,1.298,-1.331
person1,0.394784,2.8945981489636585,5.7409,-6.9721,-0.670541,3.2534338092437505,7.2486,-11.4742,-0.37548,3.380434092022066,10.1153,-5.4473,0.27361,0.494312478258051,0.916,-1.005,0.4466699999999999,0.6400508353390235,1.558,-0.791,-1.3978499999999996,1.1330724064607824,0.863,-3.434
person1,0.377992,2.618720424550043,5.7409,-6.9721,-0.182049,3.1838580025978014,7.2486,-11.4742,-0.3421929999999999,3.1226229724595838,10.1153,-5.4473,-0.15593,0.503990344925156,0.859,-1.104,0.6249399999999999,0.8513195796330932,1.558,-1.892,-2.49139,0.8382469910955888,-1.224,-4.12
person1,0.39745,2.9320667084719085,5.2479,-8.3461,-0.578392,2.4447495881219043,3.1157,-9.3884,-0.313948,2.721426622511276,9.2352,-4.1559,-0.65962,0.6173549767133389,0.299,-2.083,0.07604,2.0715211017876487,3.578,-3.665,-1.98802,1.7683585550995984,1.187,-4.183
person1,0.7657870000000001,3.726585011022122,7.5256,-8.3461,-0.494948,2.719734194880824,6.0924,-9.3884,-0.5984800000000001,2.8584497979630057,9.2352,-4.8401,-0.6465800000000002,0.6365567282519511,0.581,-2.083,0.28579,2.025113685772488,3.578,-3.665,-0.7705000000000001,1.6291908600854164,1.187,-4.183
person1,0.283479,3.0063730436919127,7.5256,-6.2473,-0.107574,2.477653784874112,6.0924,-7.8535,-0.028034,2.8817778217943624,8.2534,-5.7203,0.99657,1.6401240545283229,4.071,-0.901,0.6238499999999999,0.7854794119298459,1.86,-0.746,-0.09274,0.4561233357039928,0.905,-0.975
person1,-0.407418,2.320908653274498,4.8346,-5.9808,-0.3760720000000001,2.407209997850943,5.6995,-7.8535,0.4066749999999999,2.6737289398729525,8.2534,-5.7203,1.88307,1.081530745113731,4.071,0.31,-0.7364799999999999,1.3536209089891176,1.86,-2.977,0.29205,0.6559147883650434,1.347,-0.975
person1,0.007503,2.5043401565861414,4.8346,-5.9808,-0.4124989999999999,2.4425740213960743,5.6995,-7.0449,-0.0912549999999999,3.1711852142544528,9.617,-6.5098,0.41011,1.15225348725395,2.019,-1.484,-1.1139,0.8851446095401473,0.245,-2.977,0.33222,0.6143005808530249,1.347,-0.748
person1,0.3708389999999999,2.6999628494599026,4.6674,-6.3807,-0.0362149999999999,3.4823951540809763,8.6256,-14.6324,-0.6691559999999999,4.0786114531444655,11.4402,-9.236,-0.64247,0.7171376247473583,0.637,-2.024,-0.1108,0.6392504765091472,2.633,-1.043,-0.13044,0.5640144585867897,0.702,-1.293
person1,0.371899,2.9281729421760456,4.6674,-6.3807,-0.2031209999999999,4.157570415161876,8.6256,-14.6324,-0.639145,4.432058311716983,11.8784,-9.236,-0.67657,0.8969051756124523,0.72,-2.337,0.6730700000000001,0.8841540184740655,2.768,-0.472,-0.2173299999999999,0.4746384707109063,0.707,-1.293
person1,0.178502,2.9616768489441445,5.1651,-6.125,-0.3978579999999999,3.893681548567182,8.5351,-13.5727,-0.7787819999999998,4.15964501759465,11.8784,-12.219,-0.84567,0.6875221657400133,0.72,-2.337,0.7109200000000001,0.8075106363874026,2.768,-0.845,-0.07051,0.377854028118871,0.85,-0.606
person1,-0.277404,2.6498784674597946,5.1651,-6.125,-0.3989189999999999,3.501584063546068,8.5351,-10.4809,-0.548408,4.396524476132059,13.6211,-12.219,-0.48567,0.721909113938783,1.634,-1.454,0.2758899999999999,0.7749108113554459,1.394,-1.35,-0.0642,0.3788980833624756,0.85,-0.651
