# Target Sample Rate: 100 Hz,,,,
# Max Device Sample Rate: 400 Hz,,,,
# Recording started at: 2026-02-07 14:16:38.835,,,,
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
3.397776,1.4616,-0.5193,-2.8267,3.22
3.405713,1.9578,-0.4416,-3.0751,3.67
3.415639,2.318,-0.109,-3.2608,4
3.43126,2.6227,0.4213,-3.3112,4.24
3.435676,3.0133,1.0586,-3.2916,4.59
3.448323,3.3706,1.5636,-3.3798,5.02
3.456133,3.8204,1.8568,-3.5659,5.55
3.466052,4.2905,2.0414,-3.7505,6.05
3.481427,4.9672,2.258,-3.8512,6.68
3.48614,5.3254,2.6678,-3.7669,7.05
3.497481,5.5454,3.0036,-3.442,7.18
3.506483,5.5441,3.2739,-3.0778,7.14
3.516486,5.3018,3.2195,-2.6356,6.74
3.531205,4.8105,2.9421,-2.0517,6
3.536629,4.1669,2.4675,-1.3876,5.04
3.547379,3.3402,1.8263,-0.5319,3.84
3.556909,2.3027,0.9776,0.6309,2.58
3.566668,0.847,-0.0065,2.3738,2.52
3.581911,-1.0305,-1.414,4.4691,4.8
3.587035,-3.3056,-3.3301,6.3157,7.87
3.599206,-5.1231,-5.6148,7.8191,10.9
3.607328,-5.2725,-7.5861,8.6133,12.63
3.617298,-4.086,-7.6263,8.6443,12.23
3.63069,-2.8271,-5.497,6.8196,9.2
3.637675,-1.5067,-2.9877,3.9695,5.19
3.647391,0.2182,-0.547,2.3556,2.43
3.657986,2.3729,1.7188,1.6166,3.35
3.667425,3.4137,3.9276,0.6479,5.24
3.680818,4.0704,5.5531,-0.4398,6.9
3.687977,3.7397,6.0991,-1.9606,7.42
3.697938,3.605,3.3994,-3.2395,5.92
3.707965,2.742,-2.7401,-4.968,6.3
3.717587,1.5302,-9.4172,-7.2637,11.99
3.731542,0.4779,-12.5169,-8.2466,15
3.738582,-0.2902,-12.5903,-5.5882,13.78
3.751043,-1.7766,-10.7125,0.3075,10.86
3.767479,-3.1711,-3.7944,8.0331,9.43
3.76804,-0.667,2.7749,4.5351,5.36
3.782807,3.3688,5.3716,-0.2202,6.34
